Noms dels nadons. 2016;;;;
Catalunya;;;;
Font: Idescat, a partir de l'estadística de naixements.;;;;
Nota: el ‰ ha estat calculat sobre el total de nascuts vius a l'any i en el lloc de residència seleccionats.;;;;
Nota: Només es mostren els noms de freqüència igual o superior a 4.;;;;
Institut d'Estadística de Catalunya;;;;
http://www.idescat.cat/nadons/;;;;
Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
181;H;FERRAN;71;1,03
182;D;ISONA;70;1,02
182;D;MIREIA;70;1,02
184;H;ISMAEL;69;1,01
184;D;NEREA;69;1,01
186;D;FÀTIMA/FÁTIMA;68;0,99
186;D;NICOLE;68;0,99
188;D;CARMEN;67;0,98
188;H;NICO;67;0,98
188;D;SIRA;67;0,98
188;H;XAVI;67;0,98
192;H;JON;66;0,96
193;D;ANAÍS/ANAÏS/ANAIS;65;0,95
193;D;IRINA;65;0,95
195;H;GENÍS;64;0,93
195;D;NOUR;64;0,93
197;H;MARCOS;63;0,92
197;H;TOMÀS/TOMÁS;63;0,92
197;D;VICTÒRIA/VICTORIA;63;0,92
200;H;EDGAR;61;0,89
201;D;MAIA;60;0,87
201;D;MARWA;60;0,87
203;H;JOSEP;59;0,86
203;H;NEIZAN;59;0,86
205;H;ÒSCAR/ÓSCAR;58;0,85
206;H;ELÍAS;57;0,83
206;H;ILYAS;57;0,83
208;H;ARES;56;0,82
208;D;KHADIJA;56;0,82
208;D;NATÀLIA/NATALIA;56;0,82
208;H;PEP;56;0,82
208;H;PERE;56;0,82
208;D;XÈNIA/XENIA;56;0,82
214;D;ROCÍO;55;0,8
215;D;ALEJANDRA;54;0,79
215;H;MARCO;54;0,79
217;H;AKRAM;53;0,77
217;D;CRISTINA;53;0,77
217;H;RUBÈN/RUBÉN;53;0,77
217;D;TRIANA;53;0,77
221;D;GISELA;52;0,76
221;H;MANEL;52;0,76
221;D;RITA;52;0,76
224;H;DARIO/DARÍO;51;0,74
224;D;JUDIT;51;0,74
224;D;NAYARA;51;0,74
224;H;NOEL;51;0,74
228;H;ABEL;50;0,73
228;D;NAHIA;50;0,73
230;H;JAUME;49;0,71
230;D;VINYET;49;0,71
230;D;ÍNGRID;49;0,71
233;D;AROA;48;0,7
233;H;GUIM;48;0,7
233;D;JUDITH;48;0,7
233;H;KAI;48;0,7
233;D;NÀDIA/NADIA;48;0,7
