Noms dels nadons. 2016;;;;
Catalunya;;;;
Font: Idescat, a partir de l'estadística de naixements.;;;;
Nota: el ‰ ha estat calculat sobre el total de nascuts vius a l'any i en el lloc de residència seleccionats.;;;;
Nota: Només es mostren els noms de freqüència igual o superior a 4.;;;;
Institut d'Estadística de Catalunya;;;;
http://www.idescat.cat/nadons/;;;;
Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
744;H;EMILIO;9;0,13
744;H;EZEQUIEL;9;0,13
744;D;FATIMA ZOHRA;9;0,13
744;H;FELIPE;9;0,13
744;D;FOIX;9;0,13
744;H;HASSAN;9;0,13
744;D;IRATXE;9;0,13
744;H;ISHAQ;9;0,13
744;H;JACK;9;0,13
744;H;JADEN;9;0,13
744;D;JANET;9;0,13
744;H;JAVI;9;0,13
744;H;JORDAN/JORDÁN;9;0,13
744;H;JOSUÈ/JOSUÉ;9;0,13
744;H;JULIÁN;9;0,13
744;D;JUNO;9;0,13
744;D;KHLOE;9;0,13
744;D;LEAH;9;0,13
744;D;LISA;9;0,13
744;D;LUISA;9;0,13
744;D;MALENA;9;0,13
744;H;MEHDI;9;0,13
744;H;MOISÈS/MOISÉS;9;0,13
744;H;NABIL;9;0,13
744;D;NAROA;9;0,13
744;H;NATHAN;9;0,13
744;H;NEYZAN;9;0,13
744;D;NUR;9;0,13
744;D;OLGA;9;0,13
744;D;RAHMA;9;0,13
744;H;ROBERTO;9;0,13
744;D;ROEYA;9;0,13
744;D;SAMAY;9;0,13
744;D;SIENA;9;0,13
744;D;TAMARA;9;0,13
744;H;TELMO;9;0,13
744;H;TOM;9;0,13
744;H;VALENTINO;9;0,13
744;D;ZAIRA;9;0,13
796;D;ADELA;8;0,12
796;H;AHMAD;8;0,12
796;H;AIDAN;8;0,12
796;D;ALANA;8;0,12
796;D;ALESSANDRA;8;0,12
796;D;ALEXA;8;0,12
796;D;ANABEL;8;0,12
796;D;ANAHI;8;0,12
796;D;ANAÏS MARIA;8;0,12
796;D;ANE;8;0,12
796;H;ARIEL;8;0,12
796;D;BELÉN;8;0,12
796;H;BORJA;8;0,12
796;D;BRIANNA;8;0,12
796;D;CATALINA;8;0,12
796;D;CATERINA;8;0,12
796;D;CHAIMAE;8;0,12
796;D;DARA;8;0,12
796;H;DERECK;8;0,12
796;D;DOHA;8;0,12
796;H;EFRÈN/EFRÉN;8;0,12
796;H;EKAITZ;8;0,12
796;D;ELA;8;0,12
796;H;ELLIOT;8;0,12
796;H;EMMANUEL;8;0,12
796;H;EMRAN;8;0,12
796;D;ESHAAL;8;0,12
796;D;FIRDAOUS;8;0,12
796;D;GIANNA;8;0,12
796;D;HANNAH;8;0,12
796;H;HARITZ;8;0,12
796;H;HERNÁN;8;0,12
796;D;HEURA;8;0,12
796;D;ILIA;8;0,12
796;H;IMRANE;8;0,12
796;D;INDARA;8;0,12
796;D;ISRA;8;0,12
796;H;JARED;8;0,12
796;H;JONATAN/JONATÁN;8;0,12
796;H;JOSÉ LUIS;8;0,12
796;H;JULIO;8;0,12
796;D;LANA;8;0,12
796;D;LAYLA;8;0,12
796;H;LUC;8;0,12
796;D;MAGALÍ;8;0,12
796;H;MAIOL;8;0,12
796;D;MARIAN;8;0,12
796;H;MAVERICK;8;0,12
796;D;MELANIE;8;0,12
796;D;MELANY;8;0,12
796;D;MENCIA;8;0,12
796;D;MICAELA;8;0,12
796;D;MILENA;8;0,12
796;H;MOHAMED RAYAN;8;0,12
796;H;MOUHAMED;8;0,12
796;D;MURIEL;8;0,12
796;H;MUSTAFA/MUSTAFÀ/MUSTAFÁ;8;0,12
796;D;NIT;8;0,12
796;D;NORAH;8;0,12
796;H;OM;8;0,12
796;H;OTMAN;8;0,12
796;H;PATRICK;8;0,12
796;H;PAÜL/PAÚL;8;0,12
796;D;PETRA;8;0,12
796;D;RAWAN;8;0,12
796;D;SABINA;8;0,12
796;D;SABRIN;8;0,12
796;D;SALWA;8;0,12
796;H;SASHA;8;0,12
796;D;SIA;8;0,12
796;H;SOHAIB;8;0,12
796;D;TATIANA;8;0,12
796;D;TELMA;8;0,12
796;H;YANNICK;8;0,12
796;D;YASSMIN;8;0,12
796;H;YURI;8;0,12
796;D;ZAYNAB;8;0,12
873;H;ABDELLAH;7;0,1
873;H;ABDUL HADI;7;0,1
873;H;ACHRAF;7;0,1
873;H;ADAI;7;0,1
873;D;AINHARA;7;0,1
873;H;ALFONSO;7;0,1
873;D;ALIA;7;0,1
873;D;AMBER;7;0,1
873;H;AMINE;7;0,1
873;D;ANA MARIA/ANA MARÍA;7;0,1
873;D;ANTIA;7;0,1
873;H;ANTON/ANTÓN;7;0,1
873;D;ASMAA;7;0,1
873;D;ASMAE;7;0,1
873;H;AYAN;7;0,1
873;H;BASTIAN/BASTIÁN;7;0,1
873;D;BINTA;7;0,1
873;D;BRIANA;7;0,1
873;H;CHRISTOPHER;7;0,1
873;H;CIRO;7;0,1
873;D;DOAA;7;0,1
873;D;DÈLIA/DELIA;7;0,1
873;D;ELIZABETH;7;0,1
873;D;ENYA;7;0,1
873;D;EULÀLIA/EULALIA;7;0,1
873;D;EVELYN;7;0,1
873;H;FABIO;7;0,1
873;H;FRANK;7;0,1
873;H;GIOVANNI;7;0,1
873;H;HAITAM;7;0,1
873;D;HANA;7;0,1
873;D;HAREEM;7;0,1
873;D;IA/ÏA;7;0,1
873;D;IRAIDE;7;0,1
873;D;ISLAM;7;0,1
873;H;IÑAKI;7;0,1
873;H;JAYDEN;7;0,1
873;D;JOANNA;7;0,1
873;D;JOSEFA;7;0,1
873;H;JOSEP MARIA;7;0,1
873;H;JULI;7;0,1
873;D;KAREN;7;0,1
873;D;KAYLA;7;0,1
873;H;KENZO;7;0,1
873;D;LEYLA;7;0,1
873;H;LIONEL;7;0,1
873;H;LOAY;7;0,1
873;D;LOURDES;7;0,1
873;D;LÍLIA/LILIA;7;0,1
873;H;MAEL;7;0,1
873;H;MAHAMADU;7;0,1
873;H;MAKSIM;7;0,1
873;D;MANAR;7;0,1
873;D;MARAM;7;0,1
873;D;MARGOT;7;0,1
873;D;MARIA DEL MAR/ MARÍA DEL MAR;7;0,1
873;D;MARIA LUCÍA/MARÍA LUCÍA;7;0,1
873;D;MARIANA;7;0,1
873;H;MATHIAS;7;0,1
873;H;MATTHEW;7;0,1
873;D;MERIEM;7;0,1
873;D;MILANA;7;0,1
873;D;MINERVA;7;0,1
873;H;MUHAMMAD IBRAHIM;7;0,1
873;H;MÀRIUS;7;0,1
873;D;NADA;7;0,1
873;D;NAZARET;7;0,1
873;D;NISRIN;7;0,1
873;D;NORHAN;7;0,1
873;H;OVIDI;7;0,1
873;H;QUIRZE;7;0,1
873;D;RANYA;7;0,1
873;D;REBECA;7;0,1
873;D;RIHAM;7;0,1
873;D;ROMAISA;7;0,1
873;D;ROSER;7;0,1
873;H;ROY;7;0,1
873;D;RUT;7;0,1
873;H;SAFOUAN;7;0,1
873;H;SANDRO;7;0,1
873;D;SELVA;7;0,1
873;H;SOULAIMAN;7;0,1
873;H;SULAYMAN;7;0,1
873;D;YESENIA;7;0,1
873;H;YUSUF;7;0,1
958;D;AISSATOU;6;0,09
958;D;ALISON;6;0,09
958;H;ANASS;6;0,09
958;H;ANDREY;6;0,09
958;H;ANDY;6;0,09
958;D;ANGIE;6;0,09
958;H;ANIS/ANÍS;6;0,09
958;D;ANOUK;6;0,09
958;D;ARANTXA;6;0,09
958;H;ARIAN;6;0,09
958;H;ARTAU;6;0,09
958;D;BARAA;6;0,09
958;H;BARAE;6;0,09
958;H;BOSCO;6;0,09
958;H;BRAHIM;6;0,09
958;D;CAMÈLIA/CAMELIA;6;0,09
958;D;DAKOTA;6;0,09
958;H;DARYL;6;0,09
958;H;DENNÍS/DENNIS;6;0,09
958;D;DOLÇA;6;0,09
958;D;DÀMARIS/DÁMARIS/DAMARIS;6;0,09
958;D;EDNA;6;0,09
958;D;EIRE;6;0,09
958;D;ELIANA;6;0,09
958;D;EMA;6;0,09
958;H;EMANUEL;6;0,09
958;H;ESTEBAN;6;0,09
958;H;FAHD;6;0,09
958;H;FARES;6;0,09
958;H;FAROUK;6;0,09
958;H;FIRAS;6;0,09
958;H;FRANCESCO;6;0,09
958;D;GHOFRAN;6;0,09
958;D;HANAA;6;0,09
958;H;IGOR;6;0,09
958;H;ION;6;0,09
958;H;ISRAEL;6;0,09
958;H;ISSA;6;0,09
958;H;ISSAM;6;0,09
958;H;IVO;6;0,09
958;D;JADE;6;0,09
958;H;JADIEL;6;0,09
958;D;JAEL;6;0,09
958;H;JEREMY;6;0,09
958;H;JOHN;6;0,09
958;H;JUAN MIGUEL;6;0,09
958;H;JUAN PABLO;6;0,09
958;D;KEYLA;6;0,09
958;D;KÈNIA/KENIA;6;0,09
958;D;LORENA;6;0,09
958;H;LOUAY;6;0,09
958;H;LOUIS;6;0,09
958;D;LUANA;6;0,09
958;D;MACARENA;6;0,09
958;H;MAIKEL;6;0,09
958;D;MAIMOUNA;6;0,09
958;H;MANU;6;0,09
958;H;MARCUS;6;0,09
958;D;MARIA ISABEL/MARÍA ISABEL;6;0,09
958;D;MARISOL;6;0,09
958;H;MARWAN;6;0,09
958;D;MARÍA DEL CARMEN;6;0,09
958;D;MARÍA JOSÉ;6;0,09
958;D;MATILDE;6;0,09
958;H;MATT;6;0,09
958;D;MAYSAE;6;0,09
958;D;MELISSA;6;0,09
958;D;MIA VALENTINA;6;0,09
958;H;MOHAMAD;6;0,09
958;H;MOHAMMED AMIN;6;0,09
958;H;MOSTAFA;6;0,09
958;D;NAYA;6;0,09
958;H;NICOLAU;6;0,09
958;H;NOLAN;6;0,09
958;H;NUNO;6;0,09
958;H;NÈSTOR/NÉSTOR;6;0,09
958;D;OLAYA;6;0,09
958;H;OUSMANE;6;0,09
958;D;PILAR;6;0,09
958;D;RAZAN;6;0,09
958;D;SARAYMA;6;0,09
958;D;SHEYLA;6;0,09
958;D;SIENNA;6;0,09
958;D;SOFIA MARIA/SOFÍA MARÍA;6;0,09
958;D;TEIA;6;0,09
958;H;THOMAS;6;0,09
958;H;WAIL;6;0,09
958;H;WILLIAM;6;0,09
958;D;YANELI;6;0,09
958;D;YOUSSRA;6;0,09
958;H;ZAYD;6;0,09
1049;H;ABDULLAH;5;0,07
1049;H;ABU BAKR;5;0,07
1049;H;ADAMA;5;0,07
1049;D;ADAMA;5;0,07
1049;D;ADELE;5;0,07
1049;D;ADELINA;5;0,07
1049;H;ADIL;5;0,07
1049;D;AIXA;5;0,07
1049;D;AKANE;5;0,07
1049;D;ALAA;5;0,07
1049;H;ALAI;5;0,07
1049;H;ALEKSANDER;5;0,07
1049;D;ALESSIA;5;0,07
1049;H;ALEXANDRU;5;0,07
1049;D;ANA SOFIA/ANA SOFÍA;5;0,07
1049;D;ANABIA;5;0,07
1049;D;ANAYA;5;0,07
1049;D;ANNE;5;0,07
1049;H;ARIA/ARIÀ;5;0,07
1049;D;ARLETH;5;0,07
1049;H;ARTAL;5;0,07
1049;D;ARWEN;5;0,07
1049;D;ATENEA;5;0,07
1049;D;ATHENEA;5;0,07
1049;D;AUDREY;5;0,07
1049;D;BALMA;5;0,07
1049;D;BELA;5;0,07
1049;D;BEL·LA;5;0,07
1049;D;BÀRBARA/BÁRBARA;5;0,07
1049;D;CESCA;5;0,07
1049;D;CIARA;5;0,07
1049;D;CORAIMA;5;0,07
1049;H;CRISTÓBAL;5;0,07
1049;D;DAENERYS;5;0,07
1049;H;DAVID ANDREI;5;0,07
1049;D;DAYRA;5;0,07
1049;H;DRISS;5;0,07
1049;D;DUA;5;0,07
1049;D;EILA;5;0,07
1049;D;ELMA;5;0,07
1049;H;EREN;5;0,07
1049;D;ERMESSENDA;5;0,07
1049;D;ESTEFANIA/ESTEFANÍA;5;0,07
1049;H;ESTEVE;5;0,07
1049;H;ETIENNE;5;0,07
1049;D;EUGÈNIA/EUGENIA;5;0,07
1049;D;EYRA;5;0,07
1049;H;FABIÁN;5;0,07
1049;D;FERDAUS;5;0,07
1049;H;FRANCISCO JOSÉ;5;0,07
1049;D;FREYA;5;0,07
1049;D;GABRIELLA;5;0,07
1049;D;GADEA;5;0,07
1049;H;GERMÁN;5;0,07
1049;D;HALIMA;5;0,07
1049;D;HANAE;5;0,07
1049;D;HANNA;5;0,07
1049;D;IBTISSAM;5;0,07
1049;D;ILHAM;5;0,07
1049;H;ILYASS;5;0,07
1049;D;IVANNA;5;0,07
1049;D;IVETH;5;0,07
1049;H;JAEL;5;0,07
1049;D;JASMIN;5;0,07
1049;D;JASMINE;5;0,07
1049;H;JOAN MARC;5;0,07
1049;H;JONAY;5;0,07
1049;D;JORGINA;5;0,07
1049;H;JULIÀ;5;0,07
1049;D;JÈSSICA/JESSICA;5;0,07
1049;D;KEILA;5;0,07
1049;D;KIRA;5;0,07
1049;D;LIV;5;0,07
1049;D;LYS;5;0,07
1049;D;MAI;5;0,07
1049;D;MAISA;5;0,07
1049;D;MAITE;5;0,07
1049;D;MARGARITA;5;0,07
1049;D;MARIA VICTÒRIA/MARÍA VICTORIA;5;0,07
1049;H;MASSIN;5;0,07
1049;H;MATHIS;5;0,07
1049;D;MAYSAM;5;0,07
1049;D;MELANI;5;0,07
1049;H;MILO;5;0,07
1049;D;MINA;5;0,07
1049;D;NADIN;5;0,07
1049;H;NIKITA;5;0,07
1049;H;NIKOLA;5;0,07
1049;D;NIRA;5;0,07
1049;H;NOUH;5;0,07
1049;D;NOUHAILA;5;0,07
1049;H;ODEI;5;0,07
1049;D;OIHANE;5;0,07
1049;H;OWEN;5;0,07
1049;D;PAZ;5;0,07
1049;H;PEPE;5;0,07
1049;D;PIA/PÍA;5;0,07
1049;H;RACHID;5;0,07
1049;D;RANIM;5;0,07
1049;H;RIAD;5;0,07
1049;D;RIHAB;5;0,07
1049;D;ROMAYSA;5;0,07
1049;D;ROSA MARIA/ROSA MARÍA;5;0,07
1049;H;SAID/SAÏD;5;0,07
1049;H;SALAH EDDINE;5;0,07
1049;D;SEYNABOU;5;0,07
1049;H;SIMO/SIMÓ;5;0,07
1049;D;SINAY;5;0,07
1049;H;SOULAYMAN;5;0,07
1049;D;SUHAILA;5;0,07
1049;D;TASSNIM;5;0,07
1049;D;TINA;5;0,07
1049;H;UMAR;5;0,07
1049;H;UNAY;5;0,07
1049;D;UXUE;5;0,07
1049;D;VILMA;5;0,07
1049;D;VIRGÍNIA/VIRGINIA;5;0,07
1049;H;VÍCTOR MANUEL;5;0,07
1049;H;WASIM;5;0,07
1049;D;WISSAL;5;0,07
1049;D;XIN YI;5;0,07
1049;D;YUNE;5;0,07
1049;D;ZAIDA;5;0,07
1049;H;ZEUS;5;0,07
1049;D;ZINEB;5;0,07
1049;D;ÀNNIA/ANNIA;5;0,07
1049;D;ÀURIA/AURIA;5;0,07
1049;D;ÚRSULA;5;0,07
1177;H;ABDALLAH;4;0,06
1177;D;ABIR;4;0,06
1177;H;ADEI;4;0,06
1177;H;ADHAM;4;0,06
1177;D;ADHARA;4;0,06
1177;D;AHLAM;4;0,06
1177;D;AILA;4;0,06
1177;D;AILEEN;4;0,06
1177;H;AIRAM;4;0,06
1177;H;ALAIN;4;0,06
1177;H;ALESSIO;4;0,06
1177;D;ALIS;4;0,06
1177;D;ALISHA;4;0,06
1177;H;ALONSO;4;0,06
1177;H;AMADOU;4;0,06
1177;D;AMANI;4;0,06
1177;D;AMBAR/ÁMBAR;4;0,06
1177;D;AMNA;4;0,06
1177;H;ANIBAL/ANÍBAL;4;0,06
1177;H;ANIR;4;0,06
1177;H;ARAU;4;0,06
1177;H;AREN;4;0,06
1177;D;ARIANE;4;0,06
1177;D;ARIEL;4;0,06
1177;H;ARIK;4;0,06
1177;H;ARKAITZ;4;0,06
1177;H;ARMAN;4;0,06
1177;H;ARTAI;4;0,06
1177;D;ASHA;4;0,06
1177;D;ASIYA;4;0,06
1177;D;ASMA;4;0,06
1177;D;AVNEET;4;0,06
1177;D;AWA;4;0,06
1177;H;AYAAN;4;0,06
1177;H;BADAR;4;0,06
1177;H;BARAA;4;0,06
1177;H;BERNARDO;4;0,06
1177;H;BJORN;4;0,06
1177;H;BRANDON;4;0,06
1177;D;BRYANNA;4;0,06
1177;D;CECÍLIA/CECILIA;4;0,06
1177;D;CELESTE;4;0,06
1177;D;CHLOE VALENTINA;4;0,06
1177;D;CORALI;4;0,06
1177;D;DAHLIA;4;0,06
1177;H;DANEL;4;0,06
1177;H;DANIEL ALEJANDRO;4;0,06
1177;H;DANIEL ALEXANDER;4;0,06
1177;H;DANIIL;4;0,06
1177;D;DAPHNE;4;0,06
1177;D;DARIA/DARÍA;4;0,06
1177;H;DARIUS ANDREI;4;0,06
1177;D;DASHA;4;0,06
1177;H;DAVID ALEJANDRO;4;0,06
1177;D;DENISSE;4;0,06
1177;D;DIKRA;4;0,06
1177;H;DORIAN;4;0,06
1177;H;DYLAN ALEJANDRO;4;0,06
1177;H;DYLAN ISAAC;4;0,06
1177;H;EDEN;4;0,06
1177;D;ELINA;4;0,06
1177;D;EROLA;4;0,06
1177;H;EYDEN;4;0,06
1177;D;FABIOLA;4;0,06
1177;H;FEDERICO;4;0,06
1177;H;FILIP;4;0,06
1177;D;FIORELLA;4;0,06
1177;H;GALDRIC;4;0,06
1177;D;GEMA;4;0,06
1177;H;GERALD;4;0,06
1177;D;GINESTA;4;0,06
1177;D;GIULIETTA;4;0,06
1177;D;GLÒRIA/GLORIA;4;0,06
1177;D;GRACE;4;0,06
1177;D;GURLEEN;4;0,06
1177;D;HARGUN;4;0,06
1177;D;HELGA;4;0,06
1177;D;HENAR;4;0,06
1177;D;HIND;4;0,06
1177;H;HOUSSAM;4;0,06
1177;H;IDRISS;4;0,06
1177;D;IMANE;4;0,06
1177;D;INSSAF;4;0,06
1177;H;IRAI;4;0,06
1177;D;IRAIA;4;0,06
1177;D;IVONNE;4;0,06
1177;H;JAKE;4;0,06
1177;D;JANIS;4;0,06
1177;H;JEAN;4;0,06
1177;D;JENNIFER;4;0,06
1177;H;JERO;4;0,06
1177;D;JIAYI;4;0,06
1177;D;JIHAN;4;0,06
1177;H;JOSÉ MIGUEL;4;0,06
1177;H;JUAN ANDRÉS;4;0,06
1177;H;JUAN DE DIOS;4;0,06
1177;H;JUAN FRANCISCO;4;0,06
1177;D;JUANA;4;0,06
1177;D;JULIET;4;0,06
1177;D;KATE;4;0,06
1177;D;KENYA;4;0,06
1177;H;KHALID;4;0,06
1177;H;KIRAN;4;0,06
1177;D;KORA;4;0,06
1177;H;LAMIN;4;0,06
1177;H;LAU;4;0,06
1177;D;LAYAN;4;0,06
1177;H;LEONEL;4;0,06
1177;H;LEVI;4;0,06
1177;H;LINUS;4;0,06
1177;H;LLEIR;4;0,06
1177;D;LOU;4;0,06
1177;H;LOU;4;0,06
1177;H;LUAR;4;0,06
1177;H;LUAY;4;0,06
1177;H;LUIS MIGUEL;4;0,06
1177;D;MAHNOOR;4;0,06
1177;D;MAIALEN;4;0,06
1177;H;MALICK;4;0,06
1177;H;MAMADOU LAMINE;4;0,06
1177;H;MARC ALEXANDER;4;0,06
1177;H;MARCELO;4;0,06
1177;D;MARIA CRISTINA/MARÍA CRISTINA;4;0,06
1177;D;MARIA DOLORES/MARÍA DOLORES;4;0,06
1177;D;MARIA LUISA/MARÍA LUISA;4;0,06
1177;D;MARIA VALENTINA/MARÍA VALENTINA;4;0,06
1177;D;MAROUA;4;0,06
1177;H;MATEI;4;0,06
1177;H;MAUR/MAÜR;4;0,06
1177;H;MAXIMILIANO;4;0,06
1177;H;MAXIMILIÁN;4;0,06
1177;D;MELINA;4;0,06
1177;D;MELISA;4;0,06
1177;D;MELÀNIA/MELANIA;4;0,06
1177;D;MERCEDES;4;0,06
1177;D;MERYAM;4;0,06
1177;H;MIHAI;4;0,06
1177;D;MIRYAM;4;0,06
1177;H;MOAYAD;4;0,06
1177;H;MOHAMED AMINE;4;0,06
1177;H;MOHAMED AMIR;4;0,06
1177;H;MOHAMED YASIN;4;0,06
1177;D;MONTSE;4;0,06
1177;H;MORAD;4;0,06
1177;H;MOSAAB;4;0,06
1177;H;MOUNIR;4;0,06
1177;H;MUHAMMAD HASSAN;4;0,06
1177;H;MUHAMMAD HUSSAIN;4;0,06
1177;D;MYA;4;0,06
1177;D;MÉRIDA;4;0,06
1177;D;NAREL;4;0,06
1177;D;NARJIS;4;0,06
1177;D;NATHALIA;4;0,06
1177;D;NAUSICA;4;0,06
1177;D;NERET;4;0,06
1177;H;NICCOLO;4;0,06
1177;D;NICOL;4;0,06
1177;D;NIEVES;4;0,06
1177;D;NIRMIN;4;0,06
1177;D;NOURA;4;0,06
1177;D;NURA;4;0,06
1177;H;OCTAVI;4;0,06
1177;H;OIER;4;0,06
1177;D;OLATZ;4;0,06
1177;D;OMNIA;4;0,06
1177;H;OSAMA;4;0,06
1177;H;OTHMAN;4;0,06
1177;D;OUMOU;4;0,06
1177;H;OUSMAN;4;0,06
1177;H;PIERRE;4;0,06
1177;D;QUIMA;4;0,06
1177;H;RAFA;4;0,06
1177;D;RAIHANA;4;0,06
1177;H;RAIMON/RAIMÓN;4;0,06
1177;H;RAY;4;0,06
1177;H;RAYYAN;4;0,06
1177;D;REBECCA;4;0,06
1177;D;RENATA;4;0,06
1177;H;RIDA;4;0,06
1177;D;RIHANNA;4;0,06
1177;D;RINAD;4;0,06
1177;D;ROKAYA;4;0,06
1177;D;ROMAYSSA;4;0,06
1177;D;SAFIA;4;0,06
1177;H;SAJID;4;0,06
1177;D;SALIMATA;4;0,06
1177;D;SALSABIL;4;0,06
1177;H;SALVA;4;0,06
1177;D;SAMAR;4;0,06
1177;H;SAMIR;4;0,06
1177;D;SANAE;4;0,06
1177;D;SARA MARIA/SARA MARÍA;4;0,06
1177;D;SARA NICOLE;4;0,06
1177;H;SEKOU;4;0,06
1177;D;SERENA;4;0,06
1177;D;SIGRID;4;0,06
1177;D;SIHAM;4;0,06
1177;D;SIMONA;4;0,06
1177;D;SIRIN;4;0,06
1177;D;SOFIA ELENA/SOFÍA ELENA;4;0,06
1177;H;SOUFIAN;4;0,06
1177;H;SOUFIANE;4;0,06
1177;H;SOUHAIL;4;0,06
1177;D;SOUHAILA;4;0,06
1177;H;SULAIMAN/SULAIMÁN;4;0,06
1177;D;SUNDUS;4;0,06
1177;D;SURI;4;0,06
1177;D;TABITA;4;0,06
1177;D;TESSA;4;0,06
1177;H;THOR;4;0,06
1177;D;TIANA;4;0,06
1177;D;TIFFANY;4;0,06
1177;H;TIM;4;0,06
1177;H;URI;4;0,06
1177;D;VANESSA;4;0,06
1177;D;VIOLANT;4;0,06
1177;D;XANTAL;4;0,06
1177;D;XIMENA;4;0,06
1177;H;XOEL;4;0,06
1177;H;YASER;4;0,06
1177;H;YASIN;4;0,06
1177;H;YASSINE;4;0,06
1177;D;YOSRA;4;0,06
1177;H;YOUNESS;4;0,06
1177;H;YULEN;4;0,06
1177;D;YUXUAN;4;0,06
1177;D;ZAHRA;4;0,06
1177;H;ÀLEX GABRIEL/ÁLEX GABRIEL;4;0,06
;;;;
;;;55755;
